timeSec,estimatedX,estimatedY,estimatedHeadingDeg,truthX,truthY,truthHeadingDeg,translationErrorMeters,headingErrorDegrees
1.077,0.00000,0.00000,0.037,-0.04789,-0.32580,-7.470,0.32930,7.507
1.098,0.00000,0.00000,0.038,-0.04360,-0.32637,-7.470,0.32926,7.508
1.115,0.00000,0.00000,0.041,-0.04007,-0.32683,-7.470,0.32928,7.511
1.140,0.00000,0.00000,0.042,-0.03390,-0.32764,-7.470,0.32939,7.512
1.155,0.00000,0.00000,0.045,-0.02923,-0.32825,-7.470,0.32955,7.515
1.178,0.00000,0.00000,0.045,-0.02284,-0.32909,-7.470,0.32988,7.514
1.195,0.00000,0.00000,0.045,-0.01588,-0.33000,-7.470,0.33038,7.515
1.218,0.00000,0.00000,0.045,-0.00684,-0.33118,-7.470,0.33126,7.515
1.239,0.00000,0.00000,0.047,0.00120,-0.33224,-7.470,0.33224,7.517
1.255,0.00000,0.00000,0.048,0.00794,-0.33312,-7.470,0.33322,7.517
1.278,0.00000,0.00000,0.048,0.01672,-0.33427,-7.470,0.33469,7.518
1.298,0.00000,0.00000,0.048,0.02772,-0.33572,-7.470,0.33686,7.518
1.316,0.00000,0.00000,0.050,0.03532,-0.33671,-7.470,0.33856,7.520
1.339,0.00000,0.00000,0.051,0.04706,-0.33825,-7.470,0.34151,7.521
1.358,0.00000,0.00000,0.048,0.05714,-0.33957,-7.470,0.34435,7.518
1.377,0.00000,0.00000,0.049,0.06538,-0.34065,-7.470,0.34687,7.519
1.396,0.00000,0.00000,0.048,0.07587,-0.34203,-7.470,0.35035,7.517
1.416,0.00000,0.00000,0.048,0.08658,-0.34343,-7.470,0.35418,7.517
1.435,0.00000,0.00000,0.048,0.09747,-0.34486,-7.470,0.35837,7.518
1.458,0.00000,0.00000,0.043,0.11076,-0.34660,-7.470,0.36387,7.513
1.478,0.00000,0.00000,0.043,0.11974,-0.34778,-7.470,0.36782,7.513
